unique.id,country,location,site,observer,SamplingDate,year,month,day,lat,long,X,Y,depth_m,temp_C,management,habitat,no_quadrats,perc_hardcoral,perc_softcoral,perc_macroalgae,no_genera,no_colonies,no_bleached.cols,perc_bleached,simp.diversity,site.suscept2016,reefbase,bleach_intensity,DHWCummSUM1,average.dhw.90days,max.dhw.90days,dip.Statistic.sst,bimodality.coefficient,bimodality.ratio,n.h.spell.events_90Days,avg.high.spell.duration.90days,max.high.spell.duration.90days,avg.high.spell.rise.90days,avg.spell.peak,sd.spell.peak,avg.low.spell.duration.90dys,max.low.spell.duration.90dys,dhd_mmmplus1,CA1,Acropora.bi,Porites.massive.bi,Montipora.bi,Porites.branching.bi,Pocillopora.bi,Favites.bi,Galaxea.bi,Fungia.bi,Goniastrea.bi,Favia.bi,Pavona.bi,Echinopora.bi,Synarea.bi,Platygyra.bi,Seriatopora.bi,Diploastrea.bi,Millepora.bi,Isopora.bi,Heliopora.bi,Cyphastrea.bi,Hydnophora.bi,Montastrea.bi,Stylophora.bi,Astreopora.bi,Lobophyllia.bi,Leptastrea.bi,Coscinaraea.bi,Goniopora.bi,Leptoseris.bi,Pachyseris.bi,region,grp6.check,year2,DHWDate,date.difference
33,Kenya,Kenya fringing,Coral gardens monitoring,Tim,2004-05-16,2016,4,5,-3.26,40.15,40.15,-3.26,1.5,NA,no-take,lagoon,15,15.67,0.67,20.33,21,245,119,48.57,0.9,27.65389591,2,14.98542274,24.35999946,0.267692302,1.949999956,0.043088491,0.65669327,0.592408369,2,7,13,0.262857137,28.15269168,1.040140573,3.333333333,7,0,-0.346580842,10.71428571,7.547169811,51.02040816,0,55.41125541,8.403361345,3.174603175,0,10,10.88435374,0,9.523809524,8.928571429,8.928571429,0,0,1.587301587,0,0,0,4.761904762,0,0,0,0,0,0,2.857142857,0,0,East Africa,3,1.949999956,2004-05-16,0
34,Kenya,Kenya fringing,Mushroom,Nyawira,2004-10-16,2016,4,10,-3.984,39.7601,39.7601,-3.984,14,NA,no-take,lagoon,15,31.33,51.33,6,25,188,13,6.91,0.91,29.62404929,1,1.823708207,21.61999951,0.237582412,2.159999952,0.05459985,0.594890262,0.819644983,2,5,6,0.249999993,28.41545391,0.964743849,3.333333333,8,0,0.171013141,0.952380952,0,0,0,0,0,0,33.33333333,0,4.761904762,0,9.523809524,0,2.142857143,0,0,0,0,0,0,14.28571429,0,0,0,14.28571429,0,0,0,0,0,East Africa,3,2.159999952,2004-10-16,0
35,Kenya,Kenya fringing,Mombasa 2,Tim,2004-10-16,2016,4,10,-3.99457,39.74836,39.74836,-3.99457,1,NA,no-take,lagoon,14,20,0.71,23.93,21,296,91,30.74,0.91,25.73291212,1,9.845559846,29.84937433,0.328015103,2.638124941,0.05974581,0.607627265,0.818157394,2,6.5,7,0.198749995,28.41299936,0.962459,3.333333333,8,0,-0.373689872,14.28571429,6.857142857,48.05194805,0,61.11111111,6.285714286,9.090909091,0,0,6.060606061,0,5.714285714,0,0,0,0,0.952380952,0,0,0,16.66666667,0,0,3.571428571,0,14.28571429,0,14.28571429,0,0,East Africa,5,2.638124941,2004-10-16,0
36,Kenya,Kenya fringing,Mombasa 3,Nyawira,2004-10-16,2016,4,10,-3.99434,39.74766,39.74766,-3.99434,1,NA,no-take,lagoon,20,14.75,0,55,14,89,38,42.7,0.72,24.8194552,2,16.37239165,29.84937433,0.328015103,2.638124941,0.05974581,0.607627265,0.818157394,2,6.5,7,0.198749995,28.41299936,0.962459,3.333333333,8,0,-0.990849432,40,11.74603175,0,0,71.42857143,12.5,14.28571429,0,71.42857143,0,0,71.42857143,0,0,0,0,0,0,0,0,71.42857143,0,0,3.571428571,0,0,0,0,0,0,East Africa,6,2.638124941,2004-10-16,0
37,Kenya,Kenya fringing,Mpunguti Bleach West,Nyawira,4/18/16,2016,4,18,-4.70938,39.40823,39.40823,-4.70938,5,NA,restricted,lagoon,15,42,33.67,12,29,328,100,30.49,0.89,27.76984141,1,5.095818815,54.43999878,0.598241745,2.599999942,0.061785153,0.626563007,1.12574277,2,7.5,8,0.219999994,28.85565153,0.885308484,10,10,0,0.390484802,4.817275748,2.380952381,14.28571429,2.941176471,17.46031746,6.349206349,0,0,10.20408163,5.714285714,14.28571429,1.948051948,5.357142857,5.194805195,0,0,1.428571429,0,0,0,7.142857143,0,13.44537815,10,0,0,14.28571429,0,0,0,East Africa,2,2.599999942,4/18/16,0
38,Kenya,Kenya fringing,Mpunguti bleach east,Tim,4/18/16,2016,4,18,-4.70851,39.41012,39.41012,-4.70851,5,NA,restricted,lagoon,10,17.5,34,1.5,25,258,67,25.97,0.9,27.93949775,1,4.817275748,54.43999878,0.598241745,2.599999942,0.061785153,0.626563007,1.12574277,2,7.5,8,0.219999994,28.85565153,0.885308484,10,10,0,0.018139017,7.397959184,2.564102564,8.163265306,12.5,5.714285714,5.952380952,2.857142857,0,14.28571429,5,10.71428571,3.571428571,0,0.892857143,0,0,0,0,0,0,4.761904762,0,4.761904762,1.785714286,0,0,4.761904762,0,0,0,East Africa,3,2.599999942,4/18/16,0
39,Kenya,Kenya fringing,Mradi tengefu,Tim,2004-06-16,2016,4,6,-3.9417,39.7823,39.7823,-3.9417,1,NA,no-take,lagoon,15,51.67,4.33,18.67,20,287,65,22.65,0.85,25.81190907,1,7.864609258,12.98999971,0.14274725,1.189999973,0.049283204,0.590227327,0.010563087,2,8,12,0.203999995,28.36952318,0.930926808,3.333333333,7,0,0.171129639,42.85714286,3.781512605,66.07142857,1.661129568,51.42857143,2.285714286,4,0,0,3.571428571,0,9.523809524,14.28571429,2.197802198,0,0,5.714285714,0,0,0,2.857142857,0,0,78.57142857,0,0,0,14.28571429,0,0,East Africa,4,1.189999973,2004-06-16,0
40,Kenya,Kenya fringing,RasIwatine,Tim,2004-07-16,2016,4,7,-4.02163,39.73313,39.73313,-4.02163,1,NA,restricted,lagoon,15,22.33,5.33,11.67,21,296,142,47.97,0.79,24.76823721,2,22.39382239,52.64999882,0.578571416,4.099999908,0.053658054,0.551386522,0.787219322,2,7,9,0.193999995,28.43571365,0.921718871,3.333333333,8,0,0.075098586,7.142857143,13.39285714,71.42857143,37.04994193,62.24489796,10.47619048,8.571428571,0,28.57142857,10.71428571,2.857142857,0,0,4.081632653,0,0,9.523809524,0,0,0,9.523809524,0,0,14.28571429,0,0,0,0,0,0,East Africa,4,4.099999908,2004-07-16,0
41,Kenya,Kenya fringing,Kiruwitu Community Closure,Tim,2004-02-16,2016,4,2,-3.80136,39.83687,39.83687,-3.80136,1,NA,no-take,lagoon,15,20.33,2.67,19.67,15,184,64,34.78,0.83,25.49251368,2,12.6552795,5.749999868,0.063186812,0.469999989,0.050743374,0.563719188,0.009514957,1,18,18,0.206363633,28.1943472,0.844822858,3.333333333,7,0,0.127086763,71.42857143,0,0,2.222222222,2.197802198,85.71428571,14.28571429,0,21.42857143,1.242236025,3.65448505,0,0,5.357142857,0,0,0,0,0,0,0,0,44.19642857,0,0,0,0,0,0,0,East Africa,4,0.469999989,2004-02-16,0
42,Kenya,Kenya fringing,Watamu South,Nyawira,4/13/16,2016,4,13,-3.38398,39.99185,39.99185,-3.38398,2,NA,no-take,lagoon,20,23.25,45.45,0.5,15,150,101,67.33,0.85,29.5821342,3,32.95238095,56.86999873,0.624945041,4.229999905,0.059366927,0.688873507,0.801676561,2,8,9,0.246249995,28.17952318,1.177346466,2.5,4,0,0.123703215,43.21428571,2.48447205,46.42857143,0,64.28571429,29.22077922,11.42857143,0,0,47.61904762,0,6.12244898,0,71.42857143,0,0,0,0,0,0,53.57142857,71.42857143,0,0,0,0,0,0,0,0,East Africa,3,4.229999905,4/13/16,0
