"location","site","bleach_intensity","X","Y","management","habitat","average.dhw.90days","max.dhw.90days","dip.Statistic.sst","bimodality.coefficient","bimodality.ratio","n.h.spell.events_90Days","avg.high.spell.duration.90days","max.high.spell.duration.90days","avg.high.spell.rise.90days","avg.spell.peak","sd.spell.peak","avg.low.spell.duration.90dys","dhd_mmmplus1","CA1"
"Kenya fringing","RasIwatine",22.39382239,39.73313,-4.02163,"restricted","lagoon",0.578571416,4.099999908,0.053658054,0.551386522,0.787219322,2,7,9,0.193999995,28.43571365,0.921718871,3.333333333,0,0.075098586
"Kenya fringing","Kiruwitu Community Closure",12.6552795,39.83687,-3.80136,"no-take","lagoon",0.063186812,0.469999989,0.050743374,0.563719188,0.009514957,1,18,18,0.206363633,28.1943472,0.844822858,3.333333333,0,0.127086763
"Kenya fringing","Watamu South",32.95238095,39.99185,-3.38398,"no-take","lagoon",0.624945041,4.229999905,0.059366927,0.688873507,0.801676561,2,8,9,0.246249995,28.17952318,1.177346466,2.5,0,0.123703215
"Kenya fringing","Watamu north",23.86980108,39.9925,-3.38306,"no-take","lagoon",0.624945041,4.229999905,0.059366927,0.688873507,0.801676561,2,8,9,0.246249995,28.17952318,1.177346466,2.5,0,0.235229035
"Maldives","Bandos",11.5451895,73.48879,4.26903,"no-take","slope",0.319450542,2.739999939,0.062794349,0.685228566,0.566781879,2,8,15,0.194999997,29.72192241,0.651601209,2.5,0,0.156783404
"Maldives","Reethi Beach West",48.20814924,73.16335,5.25781,"no-take","flat",0.044835164,0.839999981,0.120753293,0.823452696,0.806656221,4,3,4,0.118888887,29.98999933,0.721586399,1.571428571,0,-0.812303134
"Maldives","Villingilli",35.3968254,73.48344,4.17663,"open","slope",1.269780191,6.139999863,0.090095335,0.750855712,0.951652577,4,3,8,0.20833333,29.97590842,0.755737776,1.571428571,0,-1.351608487
"Mauritius","ALR/ALBC",35.94176524,57.63111,-19.97889,"open","lagoon",2.789780157,7.59999983,0.032388664,0.588505579,1.838134635,5,2.8,4,0.145555551,28.69863572,0.37834596,2,0,0.521050689
"Mauritius","ALR/ALLC",41.80543383,57.63264,-19.97894,"open","lagoon",2.789780157,7.59999983,0.032388664,0.588505579,1.838134635,5,2.8,4,0.145555551,28.69863572,0.37834596,2,0,0.564913707
"Mauritius","Bain Boeuf",27.56892231,57.59736,-19.98472,"open","lagoon",2.160879073,6.109999863,0.042124542,0.554783713,1.152785648,2,8.5,15,0.134999996,28.60045391,0.384552636,1.428571429,0,0.060480247
"Mauritius","Balaclava public Beach",17.36896197,57.51082,-20.08026,"open","lagoon",1.566248003,4.377142759,0.030219782,0.535759872,1.722902323,3,6,15,0.23444444,28.76954481,0.359370836,1.666666667,0,1.053870785
"Mauritius","Bel Ombre Coral Garden",51.02040816,57.4121,-20.51066,"open","lagoon",0.720769215,2.779999938,0.046174981,0.506481082,1.091817917,2,8.5,16,0.205555549,28.61791603,0.467676756,1.666666667,0,1.326853942
"Mauritius","Bel Ombre Kayak",17.52380952,57.41544,-20.51217,"open","lagoon",0.720769215,2.779999938,0.046174981,0.506481082,1.091817917,2,8.5,16,0.205555549,28.61791603,0.467676756,1.666666667,0,-0.284278396
"Mauritius","Grand Gaube",9.808102345,57.67036,-19.99747,"open","lagoon",1.221758214,4.699999895,0.048708051,0.469930774,0.919116575,3,3.666666667,6,0.139999997,28.35545391,0.651150814,11,0,0.705677237
"Mauritius","Pointe D'Esny",46.75324675,57.72723,-20.41494,"open","lagoon",2.11692303,7.049999842,0.061212227,0.611534567,1.196995457,2,9.5,16,0.194444442,28.60318118,0.46548884,1.571428571,0,0.858511025
"Tanzania islands","Bawe Corner",50.28571429,39.13708,-6.14592,"open","lagoon",1.787472488,4.91999989,0.028571428,0.528551586,0.725078253,1,20,20,0.235999995,29.34272662,0.807424941,5.5,0,0.959067054
"Tanzania islands","Bawe Corner",56.64013406,39.13708,-6.14592,"open","lagoon",1.787472488,4.91999989,0.028571428,0.528551586,0.725078253,1,20,20,0.235999995,29.34272662,0.807424941,5.5,0,1.026785535
